"","X","Artist.Reputation","Height","Width","Weight","Material","Price.Of.Sculpture","Base.Shipping.Price","International","Express.Shipment","Installation.Included","Transport","Fragile","Customer.Information","Remote.Location","Cost","scheduled_year","scheduled_month","scheduled_day","scheduled_dateofmonth","delivery_year","delivery_month","delivery_day","delivery_dateofmonth","delta","state","Cost_Numeric"
"1",2511,0.07,18,13,1475,"Clay",6.1,14.63,"No","No","Yes","Waterways","Yes","Working Class","No","Very-Low",2015,2,2,4,2015,1,5,31,-4,"MT",166.25
"2",4985,0.34,12,6,133,"Wood",5.99,19.62,"Yes","No","No","Waterways","No","Wealthy","No","Very-Low",2017,4,2,12,2017,4,3,13,1,"NY",189.05
"3",5102,0.38,3,2,13,"Clay",6.72,23.81,"Yes","No","Yes","Waterways","Yes","Working Class","No","Very-Low",2019,6,1,25,2019,6,1,25,0,"KS",199.6
"4",4659,0.03,14,8,1108,"Clay",5.47,12.99,"Yes","No","No","Roadways","Yes","Working Class","No","Very-Low",2017,11,6,5,2017,11,4,3,-2,"NJ",148.25
"5",2357,0.47,13,7,664,"Aluminium",4.97,13.74,"No","No","No","Roadways","No","Working Class","No","Very-Low",2017,6,6,18,2017,6,0,19,1,"CA",165.32
"6",4189,0.37,7,8,844,"Brass",5.7,16.48,"No","No","No","Roadways","No","Working Class","No","Very-Low",2017,11,4,10,2017,11,6,12,2,"WA",173.45
"7",4270,0.8,3,2,8,"Wood",3.06,20.49,"No","No","No","Airways","No","Working Class","No","Very-Low",2018,7,2,25,2018,7,3,26,1,"MD",167.58
"8",5736,0.3,10,5,355,"Clay",4.7,13.31,"Yes","No","Yes","Waterways","Yes","Working Class","No","Very-Low",2018,2,2,28,2018,2,2,28,0,"ID",162.87
"9",4570,0.2,25,12,1285,"Aluminium",5.29,15.97,"No","Yes","No","Roadways","No","Wealthy","No","Very-Low",2016,9,0,12,2016,9,0,12,0,"FL",176.44
"10",5240,0.07,32,6,2250,"Clay",4.87,18.44,"No","Yes","No","Airways","Yes","Working Class","No","Very-Low",2015,9,5,19,2015,9,5,19,0,"NJ",176.32
"11",925,0.08,30,6,4349,"Material_NA",6.74,14.5,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2019,6,3,6,2019,6,6,2,-4,"NM",187.86
"12",1597,0.27,9,5,220,"Bronze",3.06,19.5,"No","No","No","Roadways","No","Working Class","No","Very-Low",2018,3,2,14,2018,3,5,10,-4,"AK",184.02
"13",2349,0.15,19,6,1391,"Clay",5.78,11.31,"No","No","Yes","Roadways","Yes","Working Class","No","Very-Low",2015,1,2,21,2015,1,2,21,0,"TX",150.77
"14",4592,0.23,20,7,434,"Aluminium",4.99,23.52,"Yes","No","Yes","Roadways","No","Working Class","No","Very-Low",2019,1,0,28,2019,1,0,28,0,"NJ",193.55
"15",5053,0.18,3,3,18,"Aluminium",3.25,24.54,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2018,4,2,11,2018,4,3,12,1,"KS",149.95
"16",2313,0.08,8,4,466,"Brass",5.03,15.93,"Yes","No","Yes","Airways","No","Working Class","No","Very-Low",2015,6,1,2,2015,6,4,5,3,"NM",157.65
"17",6014,0.01,7,5,111,"Clay",5.04,14.25,"No","No","No","Roadways","Yes","Working Class","No","Very-Low",2016,11,3,17,2016,11,5,19,2,"AK",115.04
"18",1694,0.2,3,2,3232,"Material_NA",4.69,18.32,"No","No","No","Waterways","No","Working Class","No","Very-Low",2019,8,1,20,2019,8,5,17,-3,"MT",128.34
"19",5572,0.36,15,6,484,"Aluminium",3.13,10.79,"Yes","Yes","No","Airways","No","Wealthy","No","Very-Low",2018,9,2,12,2018,9,3,13,1,"AK",167.64
"20",2535,0.38,44,11,645,"Wood",4.82,10.86,"No","No","No","Waterways","No","Working Class","No","Very-Low",2019,2,6,17,2019,2,3,21,4,"",132.07
"21",4809,0.36,15,8,271,"Material_NA",5.7,18.82,"No","No","No","Waterways","Yes","Working Class","No","Very-Low",2016,7,4,8,2016,7,4,8,0,"NC",195.74
"22",1541,0.45,12,8,84,"Material_NA",6.31,19.05,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2016,10,5,22,2016,10,5,22,0,"",130.25
"23",1789,0.17,13,7,285,"Clay",6.96,17.34,"Yes","Yes","No","Airways","Yes","Working Class","No","Very-Low",2016,10,5,1,2016,9,1,27,-4,"DC",192.38
"24",6094,0.39,8,5,200,"Aluminium",4.14,10.42,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2018,7,5,21,2018,7,2,25,4,"ID",125.69
"25",4889,0.48,10,4,100,"Material_NA",4.29,11.5,"No","No","Yes","Waterways","No","Working Class","No","Very-Low",2019,6,5,29,2019,7,0,1,2,"WA",140.76
"26",3111,0.15,20,6,406,"Aluminium",3.45,24.54,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2016,9,6,25,2016,9,6,25,0,"MO",177.14
"27",3038,0.26,21,7,1008,"Material_NA",3.08,22.59,"No","Yes","No","Airways","Yes","Working Class","No","Very-Low",2019,6,3,13,2019,6,0,17,4,"TX",192.92
"28",6052,0.45,16,6,119,"Material_NA",5.95,12.49,"Yes","No","Yes","Roadways","No","Working Class","No","Very-Low",2015,2,6,15,2015,2,2,18,3,"ND",193.26
"29",3713,0.13,25,9,332,"Aluminium",5.33,20.09,"Yes","No","No","Roadways","No","Working Class","Yes","Very-Low",2016,7,5,23,2016,7,6,24,1,"KS",164
"30",5669,0.09,13,7,157,"Wood",4.4,14.83,"No","No","Yes","Roadways","No","Working Class","No","Very-Low",2018,1,2,24,2018,1,1,23,-1,"MI",120.93
"31",1192,0.31,14,8,232,"Wood",4.89,15.19,"Yes","No","Yes","Waterways","No","Working Class","No","Very-Low",2017,4,5,15,2017,4,1,11,-4,"AL",178.91
"32",3709,0.17,41,15,577,"Wood",5.65,16.95,"No","No","No","Roadways","No","Working Class","No","Very-Low",2015,7,2,1,2015,6,0,29,-2,"FL",145.18
"33",1359,0.05,41,17,3071,"Aluminium",6.1,11.62,"Yes","No","No","Waterways","No","Working Class","No","Very-Low",2016,1,6,31,2016,2,2,3,3,"NY",105.23
"34",2510,0.19,13,7,2233,"Bronze",4.08,14.28,"No","Yes","Yes","Roadways","No","Working Class","No","Very-Low",2016,8,1,2,2016,8,1,2,0,"WA",190.71
"35",4661,0.47,6,5,5982.5,"Bronze",4.76,20.32,"No","No","No","Roadways","No","Working Class","No","Very-Low",2015,11,1,17,2015,11,2,18,1,"GA",199.21
"36",6112,0.35,4,4,204,"Material_NA",3.87,21.74,"Yes","No","No","Airways","No","Working Class","No","Very-Low",2018,1,2,31,2018,2,3,1,1,"ID",195.54
"37",2553,0.74,6,4,66,"Aluminium",5.07,10.2,"No","No","No","Roadways","No","Working Class","No","Very-Low",2018,1,2,10,2018,1,6,14,4,"AZ",174.03
"38",2271,0.04,6,5,131,"Clay",3.01,16.97,"No","Yes","No","Roadways","Yes","Working Class","No","Very-Low",2018,12,4,14,2018,12,0,10,-4,"NE",139.02
"39",1991,0.27,10,8,649,"Bronze",5.09,18.59,"No","No","No","Waterways","No","Working Class","No","Very-Low",2019,6,3,6,2019,6,2,5,-1,"SD",174.18
"40",5076,0.24,12,7,656,"Clay",3.28,10.47,"No","Yes","No","Roadways","Yes","Wealthy","No","Very-Low",2018,5,6,27,2018,5,4,25,-2,"DE",158.33
"41",3333,0.44,20,8,159,"Wood",4.41,10.21,"No","No","No","Roadways","No","Working Class","No","Very-Low",2016,7,6,10,2016,7,3,7,-3,"ME",148.01
"42",1891,0.06,12,6,656,"Clay",3.67,17.22,"No","No","Yes","Roadways","Yes","Working Class","No","Very-Low",2016,12,6,18,2016,12,6,18,0,"KY",144.45
