,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost,scheduled_year,scheduled_month,scheduled_day,scheduled_dateofmonth,delivery_year,delivery_month,delivery_day,delivery_dateofmonth,delta,state
0,0.26,17.0,6.0,4128.0,Brass,13.91,16.27,Yes,Yes,No,Airways,No,Working Class,No,283.29,2015,6,6,7,2015,6,2,3,-4 ,OH
1,0.28,3.0,3.0,61.0,Brass,6.83,15.0,No,No,No,Roadways,No,Working Class,No,159.96,2017,3,0,6,2017,3,6,5,-1 ,WY
2,0.07,8.0,5.0,237.0,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,Yes,154.29,2015,3,0,9,2015,3,6,8,-1 ,WA
3,0.12,9.0,8.0,664.0,Aluminium,5.81,16.31,No,No,No,Roadways,No,Wealthy,Yes,161.16,2015,5,6,24,2015,5,2,20,-4 ,KY
4,0.15,17.0,6.0,324.0,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,No,159.23,2016,12,6,18,2016,12,2,14,-4 ,PA
5,0.99,46.0,19.0,1178.0,Wood,6.16,16.88,No,Yes,No,Roadways,No,Wealthy,No,1922.78,2015,8,4,28,2015,8,2,26,-2 ,AL
6,0.64,17.0,9.0,7264.0,Brass,8.26,90.67,No,Yes,No,Roadways,No,Working Class,No,1536.66,2016,6,6,5,2016,6,3,2,-3 ,WV
7,0.74,23.0,10.0,3287.0,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,No,422.42,2019,6,1,4,2019,5,4,31,-4 ,CA
8,0.0,6.0,4.0,108.0,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,Yes,160.1,2018,8,0,27,2018,8,3,23,-4 ,ND
9,0.12,23.0,9.0,195226.0,Marble,245.63,49.25,No,No,No,Roadways,No,Working Class,No,834.27,2016,7,3,14,2016,7,6,10,-4 ,WV
10,0.14,47.0,25.0,40834.0,Bronze,37.22,85.09,No,No,Yes,Roadways,No,Working Class,No,652.66,2015,7,2,29,2015,7,0,27,-2 ,GA
11,0.29,32.0,9.0,221082.0,Stone,1800.96,56.04,No,No,Yes,Airways,No,Working Class,No,4106.98,2016,3,1,1,2016,3,1,1,0 ,WA
12,0.26,13.0,6.0,1534.0,Bronze,5.87,20.72,No,Yes,No,Airways,No,Working Class,No,190.08,2017,10,3,26,2017,10,5,28,2 ,DC
13,0.54,26.0,9.0,251.0,Wood,6.47,17.55,No,Yes,Yes,Roadways,No,Working Class,No,334.98,2018,9,6,16,2018,9,0,17,1 ,WA
14,0.69,21.0,6.0,3954.0,Brass,14.03,16.43,Yes,No,Yes,Waterways,No,Working Class,No,359.72,2018,4,0,30,2018,5,3,3,3 ,TX
15,0.72,44.0,12.0,4991242.0,Stone,29625.6,84.38,No,No,Yes,Roadways,No,Working Class,Yes,88316.02,2018,6,6,24,2018,6,1,26,2 ,CO
16,0.27,10.0,4.0,11909.0,Stone,29.47,28.18,Yes,No,No,Waterways,No,Working Class,No,329.2,2019,4,0,29,2019,4,4,26,-3 ,WY
17,0.1,37.0,9.0,239463.0,Marble,771.98,64.64,No,No,No,Roadways,Yes,Working Class,No,1924.3,2018,9,6,23,2018,9,5,22,-1 ,
18,0.11,19.0,14.0,7976.0,Bronze,7.1,82.84,No,Yes,No,Roadways,No,Wealthy,No,425.64,2017,2,4,10,2017,2,1,14,4 ,OR
19,0.54,20.0,8.0,65103.0,Stone,165.05,86.65,No,No,Yes,Roadways,No,Wealthy,No,1354.11,2019,4,3,11,2019,4,5,13,2 ,
20,0.59,20.0,9.0,198.0,Material_NA,5.56,15.76,No,Yes,No,Roadways,No,Wealthy,No,318.74,2018,11,5,10,2018,11,2,7,-3 ,MI
21,0.11,20.0,9.0,216919.0,Marble,263.03,46.56,Yes,No,Yes,Waterways,No,Working Class,No,708.99,2017,7,3,6,2017,7,3,6,0 ,WY
22,0.66,9.0,5.0,184.0,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,No,244.61,2016,11,3,10,2016,11,0,7,-3 ,
23,0.57,29.0,9.0,745770.0,Stone,3403.92,30.87,Yes,Yes,Yes,Airways,No,Working Class,No,39680.72,2018,11,3,15,2018,11,1,13,-2 ,NM
24,0.43,24.0,8.0,261562.0,Marble,1562.1,91.58,Yes,No,No,Waterways,No,Working Class,No,2296.74,2016,12,5,31,2016,12,5,31,0 ,AR
25,0.45,10.0,4.0,174.0,Material_NA,6.63,19.61,Yes,No,No,Waterways,No,Working Class,No,279.16,2016,6,4,10,2016,6,0,13,3 ,
26,0.2,25.0,9.0,7901.0,Brass,8.56,93.59,No,No,No,Waterways,No,Working Class,Yes,547.81,2017,10,1,3,2017,10,2,4,1 ,VT
27,0.47,28.0,15.0,985.0,Aluminium,6.76,19.83,No,No,Yes,Roadways,No,Working Class,No,371.82,2017,2,6,5,2017,2,2,1,-4 ,IA
28,0.51,16.0,8.0,63720.0,Material_NA,151.19,59.22,No,No,Yes,Roadways,No,Wealthy,Yes,1087.36,2018,5,2,23,2018,5,2,23,0 ,MN
