Item_Title,Item_Price,Shipping_Cost,Shipping_location,Rating
Shop on eBay,20.00,0.00,,NA
Apple iPad Air 2 2nd WiFi + Cellular Unlocked 16GB 32GB 64GB 128GB - Good,139.99 to 169.99,19.70,United States,4.5
Apple iPad 6th Gen A1893 (WiFi) 32GB Space Gray (Very Good),175.00,19.93,United States,5.0
Apple iPad 6th Gen 9.7" 32GB 128GB Silver Gray WiFi or Cellular Unlocked Good,150.77 to 209.99,20.45,United States,NA
Apple iPad 5 (5th Gen -2017 Model) -32GB -128GB - Wi-Fi + Cellular - Good,149.00 to 219.00,15.81,United States,5.0
2021 Apple iPad 9th Gen 10.2-inch  (Wi-Fi Space Gray 64 / 256GB),279.00,33.32,United States,NA
Apple iPad Pro 2 (2017) 10.5" 64GB 256GB 512GB All Colors (WiFi or Cellular),179.89 to 207.99,20.42,United States,NA
2021 Apple iPad 9th Gen 64/256GB WiFi 10.2",329.00 to 505.00,34.87,United States,5.0
Apple iPad 5 - 5th Gen 2017 Model 9.7" - 32GB 128GB Wi-Fi - Cellular - Good,119.99,19.10,United States,NA
2022 Apple iPad 10th Gen 64/256GB WiFi 10.9" Latest Model SHIPS SAME DAY!!!,463.00 to 615.00,40.70,United States,NA
Apple iPad Pro M1 (5th Gen) (12.9 inch) (2021) - Wi-Fi - Wi-Fi + Cellular Good,789.00 to 1049.00,29.89,United States,NA
Apple iPad Air 2 9.7" 16GB 32GB 64GB 128GB All Colors WiFi Cellular Used,98.77 to 124.77,18.78,United States,NA
Brand New Apple iPad 9th Gen 2021 10.2 in 64GB WiFi Space Gray Silver,376.32,34.72,United Kingdom,NA
Apple iPad 5th Gen 9.7" 32GB 128GB Gray Silver WiFi or Cellular Unlocked Good,135.17 to 187.17,20.11,United States,NA
Apple iPad 4 16GB 32GB 64GB 128GB Grey/Silver 9.7" Wi-Fi Only - Good,40.92,9.55,United Kingdom,NA
Apple iPad Pro 10.5" A1709 (WiFi + Cellular) 256GB Space Gray (Excellent),330.00,21.68,United States,4.5
Apple iPad Mini 4 Wi-Fi + Cellular - 16GB 32GB 64GB 128GB - Good,149.00 to 179.00,19.99,United States,NA
Apple iPad Pro 12.9 Inch 4th - 256GB - Gray (Unlocked) (Read Description) AE1098,355.00,38.16,United States,4.5
Apple iPad Mini A1432 1st Generation Space Grey 16GB WiFi - Grade B,22.45,9.13,United Kingdom,NA
Apple iPad 5 - 5th Gen 2017 Model 9.7" - 32GB 128GB Wi-Fi - NO TOUCH ID,89.99,18.65,United States,NA
Apple iPad Air 2 9.7" 16GB 32GB 64GB 128GB All Colors WiFi + Cellular - Good,119.57 to 171.59,19.87,United States,NA
2022 Apple iPad 10th Gen 64/256GB WiFi 10.9" latest model,475.00 to 650.00,37.92,United States,NA
Apple iPad Mini 5 - 64GB - Gray (Unlocked) (Read Description) AG1414,182.50,34.11,United States,5.0
NEW Apple iPad 9th Generation 10.2" Retina Display 64GB Wifi Touch ID + Stylus,309.99,100.00,United States,NA
Acceptable Apple iPad Pro 9.7" 32GB 128GB 256GB All Colors WiFi or Unlocked,124.77 to 166.39,19.64,United States,NA
NEW! Apple iPad 9th Gen 64GB Wi-Fi 10.2in Tablet Space Gray MK2K3LL/A ,279.98,79.60,United States,5.0
Apple iPad Pro 1st Gen. 64GB Wi-Fi + 4G (Unlocked) 10.5 in - Space Gray,179.99,15.22,United States,4.5
2021 Apple iPad 9th Gen 10.2-inch  (Wi-Fi Sliver 64 / 256GB),274.00,33.20,United States,NA
Apple iPad Pro 9.7" 32GB 128GB 256GB Gray Silver Gold Rose WiFi / Cellular- Good,181.99 to 187.17,20.11,United States,NA
Apple iPad Air 2 A1567 (WiFi + Cellular Unlocked) 64GB Space Gray (Excellent),135.00,19.33,United States,4.5
Apple iPad 6 (6th Gen) - (2018 Model) - 32GB - 128GB - Wi-Fi - Cellular - Good,199.00,15.51,United States,NA
Apple iPad 6th Gen A1954 (WiFi + Cellular Unlocked) 128GB Space Gray (Excellent),210.00,20.45,United States,4.5
Apple iPad 8 (8th Gen) - (2020 Model) - 32GB - 128GB - Wi-Fi - Cellular - Good,269.00 to 319.00,21.52,United States,NA
New ListingApple iPad Air 4th gen. 10.9" 64GB Gray Silver A2316 Boundle,319.99,34.28,United States,NA
New ListingApple iPad Pro 12.9 Inch 4th - 512GB - Gray (Unlocked) (Read Description) AG1159,156.50,33.50,United States,5.0
Apple iPad Pro M1 (5th Gen) (12.9 inch) (2021)  Wi-Fi + Cellular - Excellent,899.00,31.54,United States,NA
Apple iPad 5 - 5th Gen 2017 Model 9.7" - 32GB 128GB Wi-Fi - Grade C,109.99 to 149.99,19.55,United States,NA
Apple iPad Air 2 - 16GB - Gray (Unlocked) (Read Description) AG1402,23.50,18.03,United States,4.5
⭐⭐ Apple iPad Air 1st Gen- 16GB - WiFi - 9.7in -Grey -Pristine  + CHARGR ⭐⭐,84.96,10.56,United Kingdom,NA
iPad Pro 12.9" (3rd Gen) A2014 (WiFi + Cellular) 256GB Space Gray (Very Good),525.00,24.61,United States,4.5
Apple iPad Mini 4 - Wi-Fi - Wi-Fi + Cellular - 16GB - 32GB - 64GB - 128GB - Good,149.00 to 179.00,19.99,United States,NA
Apple iPad Mini 4th Gen 32GB Wi-Fi  7.9" Space Gray A1538 Tested Good Condition,119.95,14.32,United States,NA
Apple iPad Air 5th Gen. 256GB Wi-Fi + 5G (U.S. Cellular) 10.9in - Purple,335.00,62.92,United States,NA
2022 Apple iPad Air 5th Gen 64GB/256GB WiFi 10.9" latest model M1,570.00 to 799.00,40.27,United States,NA
Apple iPad Air 2 (WiFi) 32GB Silver (Very Good Condition) W/ Case Bundle,96.00,13.96,United States,NA
Apple iPad Pro 11th Gen - A2013 - 256GB,91.00,20.72,United States,NA
Apple iPad Mini 6th gen 64GB Wi-Fi 8.3in - Pink,395.00,51.04,United States,4.5
Apple iPad 4th Generation 16GB Wi-Fi A1458 Black ✅Maximum iOS 10.3✅ + Lightning,49.99,18.05,United States,NA
Apple iPad Pro 3rd Gen 256GB Wi-Fi + 5G (Unlocked) 11 in - Space Gray,635.00,67.73,United States,5.0
Apple iPad Air 1st Gen 16GB - Wi-Fi - 9.7 in Tablet Space Gray - Good,64.99,18.28,United States,4.5
Apple iPad 5 (5th Gen -2017 Model) -32GB Gold - Wi-Fi + Cellular - Good,119.00,19.09,United States,NA
Apple iPad Pro 12.9 Inch 3rd - 256GB - Gray (Unlocked) (Read Description) AE1210,172.50,33.87,United States,4.5
Apple iPad mini 4 4th Gen 16GB 32GB 64GB 128GB Wi-Fi + 4G Cellular - Good,129.99 to 279.99,21.50,United States,5.0
