,Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Cost
0,0.26,17.0,6.0,4128.0,13.91,16.27,283.29
1,0.28,3.0,3.0,61.0,6.83,15.0,159.96
2,0.07,8.0,5.0,237.0,4.96,21.18,154.29
3,0.12,9.0,8.0,664.0,5.81,16.31,161.16
4,0.15,17.0,6.0,324.0,3.18,11.94,159.23
5,0.99,46.0,19.0,1178.0,6.16,16.88,1922.78
6,0.64,17.0,9.0,7264.0,8.26,90.67,1536.66
7,0.74,23.0,10.0,3287.0,12.81,13.25,422.42
8,0.0,6.0,4.0,108.0,3.98,19.76,160.1
9,0.12,23.0,9.0,195226.0,245.63,49.25,834.27
10,0.14,47.0,25.0,40834.0,37.22,85.09,652.66
11,0.29,32.0,9.0,221082.0,1800.96,56.04,4106.98
12,0.26,13.0,6.0,1534.0,5.87,20.72,190.08
13,0.54,26.0,9.0,251.0,6.47,17.55,334.98
14,0.69,21.0,6.0,3954.0,14.03,16.43,359.72
15,0.72,44.0,12.0,4991242.0,29625.6,84.38,88316.02
16,0.27,10.0,4.0,11909.0,29.47,28.18,329.2
17,0.1,37.0,9.0,239463.0,771.98,64.64,1924.3
18,0.11,19.0,14.0,7976.0,7.1,82.84,425.64
19,0.54,20.0,8.0,65103.0,165.05,86.65,1354.11
20,0.59,20.0,9.0,198.0,5.56,15.76,318.74
21,0.11,20.0,9.0,216919.0,263.03,46.56,708.99
22,0.66,9.0,5.0,184.0,6.9,10.48,244.61
23,0.57,29.0,9.0,745770.0,3403.92,30.87,39680.72
24,0.43,24.0,8.0,261562.0,1562.1,91.58,2296.74
25,0.45,10.0,4.0,174.0,6.63,19.61,279.16
26,0.2,25.0,9.0,7901.0,8.56,93.59,547.81
27,0.47,28.0,15.0,985.0,6.76,19.83,371.82
28,0.51,16.0,8.0,63720.0,151.19,59.22,1087.36
29,0.67,17.0,6.0,182.0,6.0,11.04,280.22
30,0.56,20.0,8.0,53954.0,162.93,99.06,1358.73
31,0.25,10.0,4.0,4900.0,25.83,18.35,358.92
32,0.31,13.0,7.0,449.0,4.91,24.67,214.15
33,0.57,6.0,4.0,79.0,4.71,22.24,241.48
34,0.01,20.0,5.0,88.0,6.51,22.49,128.38
35,0.68,8.0,5.0,301.0,4.38,20.36,280.42
36,0.23,16.0,8.0,358.0,3.26,13.82,179.32
37,0.52,36.0,17.0,593.0,3.86,17.0,288.58
38,0.59,22.0,15.0,16046.0,99.52,89.55,4895.23
39,0.01,16.0,7.0,1002.0,4.15,22.03,156.3
40,0.93,29.0,8.0,7757.0,24.29,78.75,2944.95
41,0.58,20.0,5.0,71.0,4.28,19.83,205.19
42,0.86,49.0,17.0,196893.0,116.3,81.85,5364.93
43,0.27,6.0,5.0,355.0,3.14,15.04,181.02
44,0.17,20.0,7.0,3669.0,5.13,11.07,152.23
45,0.54,36.0,8.0,61696.0,61.6,48.17,1731.53
46,0.07,9.0,4.0,74.0,6.77,11.75,137.87
47,0.51,8.0,4.0,215.0,6.25,23.85,263.23
48,0.59,16.0,8.0,4679.0,10.08,19.77,380.91
49,0.29,24.0,12.0,2443.0,5.18,15.8,300.68
50,0.17,47.0,23.0,5624.0,19.82,63.79,392.2
51,0.6,20.0,8.0,160742.0,554.72,92.44,5651.15
52,0.98,15.0,7.0,3872.0,5.49,20.04,963.88
53,0.3,22.0,9.0,345055.0,365.28,54.25,1297.25
54,0.25,15.0,6.0,553.0,3.03,18.09,182.92
55,0.45,39.0,7.0,1073.0,3.6,23.31,269.88
56,0.31,7.0,5.0,415.0,5.75,22.0,210.45
57,0.12,26.0,8.0,583.0,3.5,16.83,140.38
58,0.61,31.0,8.0,507253.0,1377.26,45.19,12359.84
59,0.45,43.0,13.0,1954301.0,839.18,92.25,8617.36
60,0.45,18.0,8.0,5263.0,7.86,55.05,383.26
61,0.49,7.0,5.0,4736.0,18.4,23.76,323.55
62,0.68,39.0,15.0,3996.0,11.76,22.39,836.8
63,0.18,15.0,7.0,16227.0,46.61,54.29,595.73
64,0.38,44.0,21.0,2663.0,4.43,15.69,232.86
65,0.67,34.0,13.0,3151086.0,10624.83,44.95,24383.58
66,0.68,15.0,8.0,143739.0,409.34,72.82,4089.47
67,0.04,35.0,17.0,557.0,5.58,18.45,113.86
68,0.81,20.0,3.0,495.0,6.11,20.95,516.72
69,0.65,32.0,11.0,2135.0,9.97,14.81,1157.2
70,0.84,18.0,8.0,10381.0,26.1,45.79,1536.89
71,0.69,26.0,12.0,524871.0,1566.67,59.65,4300.25
72,0.36,25.0,24.0,14074.0,34.08,95.89,1165.4
73,0.22,8.0,4.0,788.0,4.22,24.47,179.2
74,0.11,17.0,7.0,133437.0,210.57,94.13,1050.81
75,0.45,25.0,11.0,1849.0,3.13,15.48,556.87
76,0.58,10.0,4.0,496.0,3.06,18.67,215.68
77,0.17,18.0,6.0,1374.0,4.71,17.09,148.42
78,0.45,9.0,5.0,1247.0,6.02,13.52,244.62
79,0.4,14.0,8.0,1374.0,3.79,10.26,213.96
80,0.97,30.0,15.0,575.0,4.58,13.39,708.86
81,0.87,19.0,11.0,250244.0,1383.56,95.79,4083.76
82,0.93,30.0,10.0,1016.0,9.89,13.29,3144.43
83,0.38,12.0,8.0,2112.0,4.16,17.29,251.07
84,0.5,16.0,6.0,1171.0,3.34,18.85,236.89
85,0.18,15.0,6.0,477.0,6.35,15.4,189.24
86,0.38,56.0,17.0,50809.0,47.18,67.44,1030.25
87,0.88,25.0,17.0,768813.0,3929.77,55.12,28508.63
88,0.22,23.0,13.0,345.0,6.23,22.3,225.61
89,0.43,20.0,14.0,2851.0,6.55,22.15,390.57
90,0.49,16.0,8.0,944.0,5.49,16.52,215.42
91,0.88,24.0,15.0,799475.0,2896.76,54.34,20923.0
92,0.64,10.0,4.0,115395.0,31.69,91.98,1043.72
93,0.03,41.0,9.0,494.0,5.58,18.88,156.01
94,0.28,37.0,20.0,9467.0,20.41,27.4,428.22
95,0.45,35.0,13.0,8066.0,88.84,34.46,2135.3
96,0.86,14.0,7.0,3694.0,8.3,17.02,1494.4
97,0.99,8.0,8.0,149.0,6.92,21.85,626.73
98,0.27,37.0,16.0,7365.0,28.53,29.16,336.53
99,0.42,24.0,17.0,4848.0,32.42,23.52,552.54
100,0.3,23.0,10.0,1153.0,3.71,20.65,199.1
101,0.99,30.0,7.0,1104.0,5.91,14.04,801.86
102,0.34,23.0,12.0,450.0,4.95,24.48,211.1
103,0.45,13.0,7.0,51068.0,153.97,71.73,687.11
104,0.51,29.0,10.0,1996.0,11.45,20.82,330.13
105,0.36,9.0,5.0,63.0,4.3,11.28,112.03
106,0.77,10.0,5.0,541.0,5.28,23.04,420.24
107,0.45,41.0,9.0,19928.0,121.37,82.14,1310.04
108,0.79,23.0,8.0,152855.0,647.77,88.79,19151.67
109,0.18,26.0,6.0,1606.0,6.56,16.18,185.39
110,0.87,7.0,5.0,2125.0,5.22,19.81,523.71
111,0.32,41.0,12.0,7830.0,16.23,88.99,772.7
112,0.58,28.0,17.0,896.0,3.32,17.24,344.74
113,0.03,7.0,8.0,2168.0,4.65,17.06,171.15
114,0.4,18.0,9.0,322.0,5.31,15.7,216.4
115,0.57,4.0,3.0,26.0,3.15,18.99,182.64
116,0.41,19.0,8.0,664.0,6.43,11.82,196.34
117,0.48,24.0,6.0,59036.0,319.06,70.13,1964.21
118,0.69,25.0,14.0,1695010.0,7351.07,75.19,322018.37
119,0.41,11.0,8.0,815.0,5.52,21.32,239.33
